org,num_language,num_speech,num_vision,num_multimodal,num_embodied,downloads_language,downloads_speech,downloads_vision,downloads_multimodal,downloads_embodied,dataset_usage,num_pretraining,num_finetuning,num_preference,downloads_pretraining,downloads_finetuning,downloads_preference,operators
BAAI,125,6,42,24,1,598451,18560,26374,307363,416300,3487,152,44,2,945813,414940,6295,24
ShanghaiAILab,61,4,117,45,2,117775,115,595649,429415,2480,3159,133,90,6,771244,205451,168739,0
Baidu,19,0,0,0,1,4316,0,0,0,310,3,11,7,2,0,3711,915,0
Baichuan,0,0,1,0,0,0,0,538,0,0,0,0,1,0,0,538,0,0
Zhipu,13,0,3,3,0,63643,0,5018,15851,0,784,0,12,7,0,58941,25571,0
Ali,58,7,36,12,1,47292,5451,34661,10475,7279,6,21,93,0,28707,76451,0,105
Huawei,4,0,0,2,0,4455,0,0,0,0,18,2,4,0,1703,2752,0,0
LMSYS,4,0,0,0,0,110500,0,0,0,0,1203,0,2,2,0,91048,19452,0
Falcon,1,0,0,3,0,234934,0,0,4342,0,1262,1,3,0,234934,4342,0,0
EleutherAI,188,0,8,0,0,1322424,0,2479,0,0,4007,42,152,0,913655,410903,0,0
Meta,34,6,16,20,3,923035,211139,86113,254469,1394,10606,28,45,5,558698,914147,3253,0
Google,129,44,45,20,7,1186326,371524,2925,121128,0,22863,132,103,6,177414,1493365,0,0
